Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-06-28,Paddington 2,2017,https://boxd.it/2YdoZT,4.5,,It made me want to be a better man.,,2022-06-27
2022-06-30,Marcel the Shell with Shoes On,2021,https://boxd.it/2Yz7H3,3.5,,Very competent movie with an interesting premise that didn’t quite resonate with me. There are definitely great jokes and powerful emotional beats. Normally I like the ditzy protagonist but Marcel’s characterization was too inconsistent in my opinion. I appreciate the short runtime because the film uses it well and doesn’t overstay its welcome.,,2022-06-29
2022-07-03,Official Competition,2021,https://boxd.it/2Z4TCx,4,,"Really funny comedy that took me a little while to fully get into - although I’m not sure if that was because of the language barrier or the loud talkers behind me. The ending was really satisfying and the dynamic of the main trio really makes this film unique. In my opinion, Penélope Cruz as Lola is the clear standout of the bunch.",,2022-07-02
2022-07-04,Minions: The Rise of Gru,2022,https://boxd.it/2ZgKUV,3,,"Clearly, this is the best movie Michelle Yeoh has been in for 2022.",,2022-07-03
2022-07-08,Thor: Love and Thunder,2022,https://boxd.it/302TBJ,4.5,,"While I need more time to fully determine this, I think this might be my favorite Thor movie yet. Ragnarok was amazing but it left out some of the most compelling aspects of its source material, namely Planet Hulk. This movie, however, combines the God Butcher and Jane Foster storylines in a much more satisfying manner, while adding really interesting story beats and fight sequences. It wraps up key aspects of the Thor legacy that packs an emotional punch.

Now let’s see Paul Allen’s Necrosword.",,2022-07-07
2022-07-14,RRR,2022,https://boxd.it/31helJ,5,,"This is by far the best movie I’ve seen all year. The hype is real - this movie has it all: the action, the music, the drama. Genuinely can’t wait to watch it again.",,2022-07-13
2022-07-16,The Gray Man,2022,https://boxd.it/31DVat,4,,"This movie is like if The Amazing Race were an espionage thriller. The action is top-notch and it’s great to see that the Russo Brothers can still carry their weight outside of the MCU. My only complaints are that it sometimes takes itself a little too seriously, and that the constant switching between various international locations almost gave me whiplash. I wish Ryan Gosling were less passive of a protagonist, but it was fun to see Chris Evans as a mustache-twirling villain. The Ken doll joke is especially appreciated.",,2022-07-15
2022-07-17,The Deer King,2021,https://boxd.it/31MtJ9,3.5,,"The politics are near incoherent and the some of the plot developments lack a sense of cause-and-effect. Regardless, this movie is visually appealing and the forged father-daughter bond is very touching. Hohsalle’s final revelation about the disease and the epilogue that plays throughout the credits are both satisfying.",,2022-07-16
2022-07-26,Nope,2022,https://boxd.it/33KREL,4.5,,"This is a return to form for Jordan Peele in my opinion. While I need to rewatch both of his other movies, my initial impression of Us was that it was underwhelming compared to his directorial outing in Get Out. This manages to recapture that spark in an exciting thriller. It may have gone over my head (pun intended), but it didn’t seem as though the social commentary was as heavy as his other two movies. My only major gripe about the movie is that there seemed to be some unresolved potential regarding Gordy’s Birthday. Regardless, it was a fun movie with a satisfying final act and an amazing dynamic seen in the brother-sister duo of OJ and Emerald.",,2022-07-25
2022-07-27,Vengeance,2022,https://boxd.it/33YhvL,4.5,,"Didn’t really know much going into it, but delivers surprisingly profound ideas layered into really funny dialogue. This needs to be put right next to King of the Hill in terms of highlighting Texan culture.",,2022-07-26
2022-07-31,DC League of Super-Pets,2022,https://boxd.it/3531y9,4,,"I was going to make this a witty one-liner about how a Guinea pig is down bad for Lex Luthor, but I want to commend how the dialogue is funny and self aware. I was surprised how many curse words this movie was able to drop and the post credits scene goes hard af.",,2022-07-30
2022-08-03,Bullet Train,2022,https://boxd.it/35Idhh,4.5,,Having Thomas the Tank Engine be a major plot element makes it an instant classic no matter what.,,2022-08-02
2022-08-17,Howl's Moving Castle,2004,https://boxd.it/38GJQB,5,Yes,"I’ve seen this movie at least a dozen times, but I think this is the first time it’s made me cry. I’m not sure if it’s because of how incredibly sad I’ve been lately or because I yearn for the connection shared between Howl and Sophie. Regardless, I couldn’t contain my emotion as the final song began to play. I particularly was able to relate to Sophie’s insecurity this viewing, but I will take away the lesson of assuredness and self-love that Sophie is able to learn.

This movie will always hold a special place in my heart. It is not the first Ghibli movie I’ve seen, yet I’ve always been inexplicably drawn to its characters, themes, and world. 

This film is a masterpiece in every sense of the definition. It can be said of cinema in general that every frame is a painting, but it could not be more true in Howl’s. The score masterfully amplifies each emotion intended to convey. I’m fascinated by how the same song can express whimsy, misery, and every emotion in between just by changing the rate at which it is played. Having now seen all of Miyazaki’s works, all of which express anti-war or pro-nature sentiment (or both), none of his films so succinctly and effectively demonstrates the hypocrisy of war. It’s amazing how the plot is driven by the actions of the war, yet all the audience ever sees of the war are its aftereffects. Most importantly, however, the characters are so incredibly constructed I wish I was able to witness their entire lifetimes. I’d especially like to highlight the meticulous attention to Sophie’s aging that teaches me something new about Sophie on every watch. Each voice was cast perfectly, even more so Howl, and the entire found family dynamic between all of the core characters brings me great comfort. 

Everyone has their favorite Ghibli movie, and this one is mine. I will be greatly surprised if another film comes to surpass this one in terms of quality in my eyes throughout my lifetime. ",,2022-08-16
2022-08-20,Dragon Ball Super: Super Hero,2022,https://boxd.it/39egBl,3,,"The action and fight scenes felt like the only redeeming quality of this movie. The amount of plot contrivances and overuse of 3D CGI really hindered this movie. The general plot was passable and it was cool to have Piccolo be such a prominent figure. On the other hand, Gohan has major deadbeat father energy and Bulma’s vanity that was quirky in Broly was extremely cringe. With that being said, this movie does make me want to watch the original series.",,2022-08-19
2022-08-24,Beast,2022,https://boxd.it/3a1APF,3.5,,Simplistic plot carried by the fantastic acting from each of the four leads.,,2022-08-23
2022-08-25,Bodies Bodies Bodies,2022,https://boxd.it/3aakGP,3.5,,This would have been ten times better if Kanye played the role of Greg.,,2022-08-24
2022-08-27,Three Thousand Years of Longing,2022,https://boxd.it/3auTvR,4,,This would make for a legendary Family Guy episode.,,2022-08-26
2022-08-27,Breaking,2022,https://boxd.it/3awLBr,4.5,,I am so fucking ready for the John Boyega renaissance era,,2022-08-26
2022-08-29,Emily the Criminal,2022,https://boxd.it/3aXkwj,4,,"This has a very gripping first act, complete with escalating stakes and realistic consequences. However, this movie loses some steam with a contrived love story. None of the revelations ever truly land on its feet, and I feel that Emily should have faced greater consequences for her actions. Regardless, the resolution is satisfying and the film is very well made overall.",,2022-08-28
2022-09-05,Honk for Jesus. Save Your Soul.,2022,https://boxd.it/3cgyUL,3.5,,"There are some interesting ideas this satire explores regarding the superficiality and hypocrisy of megachurches. I thought the character of Trinity was very unique. Some of the scenes dragged on a little too long, however.",,2022-09-04
2022-09-13,Barbarian,2022,https://boxd.it/3dKoXz,4,,"I just thought it was funny to see someone be fearless not for any innate reason, but because they wanted to measure the square footage of their house.",,2022-09-12
2022-09-16,See How They Run,2022,https://boxd.it/3eeLwB,3,,"This movie enjoyed pointing out common murder mystery tropes but didn’t really have any groundbreaking commentary on them. None of the humor really hit for me, and it felt odd not having the crazy cast of characters able to bounce of each other to derive tension.",,2022-09-15
2022-09-18,The Woman King,2022,https://boxd.it/3ezi5N,4,,This movie has a solid narrative and it was nice to have the main perspective be a new recruit so the audience can get acclimated to the warrior culture along with her. Lashana Lynch as Izogie was the standout character for me and I really need to see John Boyega in more movies the next few years.,,2022-09-17
2022-09-19,"Confess, Fletch",2022,https://boxd.it/3eODBl,4.5,,4.(5 stars). This movie is the embodiment of abrupt chaos.,,2022-09-18
2022-09-19,Pearl,2022,https://boxd.it/3eR4S3,4,,"I wasn’t a huge fan of the first one, so I was only inclined to see this for continuity. I enjoyed it a lot more due to a more tight narrative and distinct stylistic era set during World War I. Regardless, it’s impressive to be able to release an entire trilogy in about two years, and I hope more low-budget movies can capture a mainstream audience like this.",,2022-09-18
2022-09-21,"Goodbye, Don Glees!",2021,https://boxd.it/3fhl39,4,,"Standard coming-of-age story with very clean animation. However, the last couple of scenes were simultaneously heartbreaking and heartwarming. A thermodynamic miracle… like turning air into gold. I really want to visit Iceland now.",,2022-09-20
2022-09-23,Rocky IV,1985,https://boxd.it/3fC6VH,5,Yes,The training montage in this is the greatest scene in cinematic history.,,2022-09-22
2022-09-24,Avatar,2009,https://boxd.it/3fNSoN,5,,"I completely forgot awesome this movie is - it’s been a few years since I’ve seen it. I first experienced this movie when I was nine, so watching it in IMAX 3D was extremely nostalgic. The world of Pandora is absolutely breathtaking and it’s hard to imagine this movie came out in 2009 when it still looks better than a lot of movies that come out today. While the plot is a little simplistic, the themes of environmentalism and anti-imperialism really resonated with me on this watch and Jake’s journey to become one of The People is captivating.",,2022-09-23
2022-09-25,Don't Worry Darling,2022,https://boxd.it/3fYcwx,3.5,,"Honestly this isn’t as bad as I thought it would be based on initial reactions. Miss Flo definitely carries this movie and the ending was amazing. My main issue is that it feels like it conceals information for the sake of making the ending better without giving some sort of compelling alternate theory. I liked a lot of the blink-and-miss psychological distortions but I feel like the best ones were spoiled from the trailer. With that being said, my favorite thing about this movie is that it feels like a movie.",,2022-09-24
2022-09-27,The Greatest Beer Run Ever,2022,https://boxd.it/3grXQn,2.5,,"I saw this as a part of Regal’s Monday Mystery Movie. I didn’t consider this would include streaming releases so I was surprised when this came on. I’m not sure if this is supposed to be a drama or a comedy. It has its moments, but it doesn’t particularly excel at either. My main issue is that there isn’t really any challenge Chickie faces along his journey. This film also has a problem with telling instead of showing. It feels like every other line someone is calling Chickie an idiot, which gets repetitive after a while. Efron’s charisma saves the movie a little along with him seeing the error of his ways by the end.",,2022-09-26
2022-10-01,Smile,2022,https://boxd.it/3hbyOj,4,,"The scariest part of this movie is that it takes place in New Jersey. Normally I find an excessive use of jumpscares to be obnoxious, but the ones in this movie are all executed creatively. A lot of the visuals towards the end are deeply disturbing in a way that makes this horror film better. I really like the themes of mental health and it keeps you guessing if Rose is simply just crazy.",,2022-09-30
2022-10-08,Amsterdam,2022,https://boxd.it/3iDD2z,4,,"If I had a nickel for every time Christian Bale played a squirrelly and socially awkward doctor with a glass eye, I’d have two nickels. This isn’t a lot, but it’s weird that it happened twice.",,2022-10-07
2022-10-09,MK Ultra,2022,https://boxd.it/3iUoSf,2.5,,"The concept is more interesting than the execution. The editing and pacing are all over the place, and the conclusions it comes to are not earned but rather arrive as a result of necessity based on historical reality. The scenes with the patients are the most thought-provoking part but those scenes are too few and far between for a film about a psychological study. Furthermore, this film doesn’t inform or enlighten the viewer on the reality of these events beyond the introduction.",,2022-10-08
2022-10-11,Triangle of Sadness,2022,https://boxd.it/3jqdOl,5,,"One of the best movies I've seen all year. The social commentary is well thought out and it has some genuinely hilarious moments. My favorite aspect is how well the visuals of the movie are conveyed. More so than most movies, I felt this could have been played entirely without sound and I wouldn't have had any issues understanding the themes and story. This is a testament to how well the cinematography, acting, and facial expressions are throughout.",⛵️,2022-10-10
2022-10-15,Till,2022,https://boxd.it/3k89Tf,4,,"Incredibly powerful film with an Oscar worthy performance by Danielle Deadwyler. Between this and Watchmen, she definitely needs to be in more movies.",,2022-10-14
2022-10-15,TÁR,2022,https://boxd.it/3ke4A5,5,,"The girlbossification of Whiplash.

Having barely touched an instrument in my life, I was surprised how much I loved this film. Cate Blanchett delivers an absolutely phenomenal performance as the lead. For being almost three hours long, there is never a dull moment and in that manner the pacing is immaculate. While there are a lot of names and musical terminology that are beyond me, the film does not get dragged down by this and still leaves enough breadcrumbs for the casual viewer to follow along the complexity of the narrative. I'll definitely be giving this a rewatch at some point to find all of the intricate details I missed throughout this first viewing. More so than most, this is a movie I'll be thinking about for a long while after having seen it.",,2022-10-14
2022-10-26,Black Adam,2022,https://boxd.it/3my53z,3,,"Before getting into the review, I just want to say how much I appreciate and admire the Rock’s passion for this character and decade-plus long fight to get this film made. While it doesn’t quite succeed on its initial outing, being carried only by a few good action scenes, it sets up extremely promising encounters for the DCEU. The acting and writing are held back by a seeming lack of direction, with every character being one dimensional or wielding a handful of key expressions. I really hope there is follow through with a showdown between Shazam or Superman, because this movie proves that DC is certainly best at portraying battles of the gods.",,2022-10-25
2022-10-30,Decision to Leave,2022,https://boxd.it/3nioMZ,3.5,,"An incredibly beautiful film with creative shot composition and interesting bits of visual storytelling. I can see why others might rate this higher, but personally I found the scene-to-scene moments to be disjointed and was often slightly confused about what was happening. Furthermore, I felt this movie suffered from being a little too overstuffed, although I’m not sure what could be changed to eliminate this feeling.",,2022-10-29
2022-11-01,Call Jane,2022,https://boxd.it/3nTUUb,4,,Banks and Weaver are an unexpectedly excellent duo I never knew I needed. This film provides timeless snapshots of women’s stories regarding their need for abortion as well as insight into the time period before Roe v Wade. A film has never made me more thankful I don’t have a uterus. While the ending is uplifting it feels like a hollow victory considering recent events to overturn Roe v Wade.,,2022-10-31
2022-11-02,Armageddon Time,2022,https://boxd.it/3o9aWd,4,,"Carefully explores the duality of expectations set for those in different classes and the resulting consequences of those expectations. Contrary to most movies, I actually think this film could have benefitted from being a little longer to properly develop Johnny's perspective and home life. Regardless, this is another great performance from Anthony Hopkins and a movie I'd gladly watch again in the future.",,2022-11-01
2022-11-03,The Bad Guys,2022,https://boxd.it/3of6ur,3.5,,"The art is super clean and stylized and I like how the animation is expressive. While I know it’s a kids movie, the plot points are more predictable than most and the second act feels very slow. Still a fun movie regardless.",,2022-11-02
2022-11-04,The Banshees of Inisherin,2022,https://boxd.it/3ow15Z,3.5,,Colm is a feckin sociopath #TeamPadraic,,2022-11-03
2022-11-08,Spirited,2022,https://boxd.it/3psrUF,3.5,,"I was skeptical based on the promotional material I've seen for this movie, but it definitely starts out strong. This movie presents a fresh take on a classic Christmas tale through Reynold's character background of sowing division through good-natured PR and marketing. I was hoping they would lean more into this facet of his character to deliver a powerful meta commentary, but I understand the primary purpose of this is for families to watch during Christmas. It succeeds in this area, even if it ends up being more of the same when it comes to retelling Dickens' story. At least there are some catchy tunes spread throughout.",,2022-11-07
2022-11-11,Black Panther: Wakanda Forever,2022,https://boxd.it/3q1hKF,4.5,,"I knew the loss of Chadwick would be an insurmountable obstacle to overcome, but this film surpassed my expectations. This film soars beyond its predecessor and establishes exciting new status quos for the MCU. Tenoch Huerta absolutely commanded his on-screen presence as Namor and he was my favorite character in the film. Okoye and Ironheart also stood out from the supporting cast for me. Most importantly, Shuri’s elevation to the lead character is not in vain. Her struggle between nobility and vengeance clashes throughout to yield an extremely satisfying conclusion.",,2022-11-10
2022-11-15,"BARDO, False Chronicle of a Handful of Truths",2022,https://boxd.it/3qWjov,2,,"I always appreciate when a director is able to fulfill their artistic vision to the fullest extent, but this film just wasn't for me. This film is somewhat of an autobiographical reflection of Iñárritu's struggle with his cultural identity and the dichotomy of his Mexican roots and American acclaim. It's clear there is also influence from his recent success with Birdman and The Revenant (both of which I loved) and how that weighs on him as an artist. The greatest aspect of this film is how a handful of scenes feel like paintings in motion. However, the non-linear storytelling and absurdist imagery was too much for me to handle and I found this movie to be disorienting and hard to follow. Ultimately, I felt that this film lacked a gripping narrative throughline that is essential for most cinematic experiences.",,2022-11-14
2022-11-21,The Menu,2022,https://boxd.it/3sa6Rh,4,,"The mind games Margot and Chef Slowik play with each other throughout the film kept me engaged, all the while simply being fun to watch. Their mutual understanding of the meal is extremely cathartic.",,2022-11-20
2022-11-24,Bones and All,2022,https://boxd.it/3sKmU9,3,,"This movie evoked the same exact feelings that I have when reading a novel, so I wasn’t surprised to learn this is based on one afterwards. More so than most adaptations, each scene felt like its own chapter and each person was characteristically distinct. The acting and romance between the two leads were compelling, but the editing and scene transitions could have been smoother. There’s still some reflection I need to do to understand the overall meaning, but I’m not sure I would have picked this up as a book plot-wise.",,2022-11-23
2022-11-27,She Said,2022,https://boxd.it/3tiUE3,4,,"I was confused because I thought this movie was about Harvey Weinstein, but when he came on screen, it looked exactly like Ryan Kavanaugh. I had to search “Does Ryan Kavanaugh look like Harvey Weinstein?” on Google and clicked on the <a href=""https://doesryankavanaughlooklikeharveyweinstein.com/"" style=""-webkit-text-size-adjust: 100%;"">first website</a>. I urge anyone that is also confused to please do the same.",,2022-11-26
2022-11-27,Glass Onion,2022,https://boxd.it/3tnUq1,4.5,,"This film manages to almost fully capture the lightning in a bottle that was Knives Out. This mystery feels more like a traditional game of Clue than its predecessor in that the suspect’s motives and personalities are less refined. Janelle Monae is klearly the shining star along with the returning charisma of Daniel Craig’s Benoit Blanc. While this outing is dragged slightly down by an extended sequence of retracing steps, Glass Onion is an excellent murder mystery that is both funny and socially relevant.",,2022-11-26
2022-11-28,The Fabelmans,2022,https://boxd.it/3tDXGN,4.5,,"TW: Seth Rogen’s Laugh

I was expecting to not like this movie or at the very most be ambivalent towards it purely based on the trailer (which I’ve had to see dozens of times in front of other movies the past three months). I really liked seeing the progression of Sam’s film career as a reflection of Spielberg’s own journey. Most surprisingly, this film is quite funny and has some jokes that made me laugh out loud. It inspires me to pick up a pen and camera of my own.",,2022-11-27
2022-11-29,Strange World,2022,https://boxd.it/3tN4qP,4,,Y’know this world… this world we live in today… is a pretty strange world too 🙂😀🫤😕😔,,2022-11-28
2022-12-03,Violent Night,2022,https://boxd.it/3uuZwr,3.5,,"It’s a cosmic mix of the action of the 90s combined with the exploitation films of the 70s, but with modern touches. It’s hyper-violence, but it knows that it is. It’s a little bit Tarantino. It’s definitely a little bit Michael Mann. It’s kind of a cosmic gumbo.",,2022-12-02
2022-12-06,White Noise,2022,https://boxd.it/3verRR,2,,"There are definitely some interesting themes and ideas that are explored throughout the duration of the film, but the dialogue absolutely ruined it for me. Every dialogue scene felt like it was written by aliens that were trying to decipher human speech. All of the characters were written using the same linguistic template and each given a different font. The speaking was fast and snappy, but the actual words made it seem like they were narrating themselves. I kept imagining that the person who wrote this must have read a David Fincher script once and then attempted to recite it from memory. Ultimately, the lack of a central narrative hindered this movie and prevented it from delivering a satisfying conclusion in my opinion.",,2022-12-05
2022-12-07,Devotion,2022,https://boxd.it/3vpoW7,4,,"Devotion isn’t the flashiest of war movies, but it doesn’t need to be. Rather, this film presents a compelling character study of pilot Jesse Brown, to which Jonathan Majors brings an outstanding performance. There’s a certain level of clarity to each shot and the overall cinematography that isn’t matched by most films, especially in the flying sequences.",,2022-12-06
2022-12-10,Empire of Light,2022,https://boxd.it/3vWZmL,4.5,,"The atmosphere of this film is very comforting in terms of aesthetic. Seeing the grandeur of the cinema gives me nostalgia for working at AMC, but makes me a bit melancholic that movie theaters are dying. This film is very beautifully shot and the slice-of-life romantic drama is well acted by all. It lost me a bit in the third act regarding the plot, but it was still a worthwhile watch that I will likely revisit in the future.",,2022-12-09
2022-12-10,Aftersun,2022,https://boxd.it/3vZ3j1,4.5,,"This one is all about the vibes. It is a slow burn but in a way that let’s you soak in and process every moment. On the surface, there’s not too much going on, but this film is so rich in subtext. Each viewing will divine new meaning not just for each person, but possibly even each rewatch. I can definitely see why this is among the highest regarded films of this year.",,2022-12-09
2022-12-10,The Eternal Daughter,2022,https://boxd.it/3w1EBF,3.5,,"To be honest, I'm still not quite sure how I feel about this movie. I'm not sure I like the ending, but I love how much it feels like a Twilight Zone episode.",,2022-12-09
2022-12-12,TÁR,2022,https://boxd.it/3wrll1,5,Yes,I literally had a dream a few weeks ago where I was effusively thanking Cate Blanchett for giving such a great performance in this.,,2022-12-11
2022-12-15,K-On! The Movie,2011,https://boxd.it/3xcBjJ,5,Yes,Peak fiction,,2022-12-14
2022-12-21,The Whale,2022,https://boxd.it/3yEwRV,5,,"It's easy to look at this movie as simply emulating the daily struggles of a fat man, but I was struck by just how much subtext is lurking below the surface. Every actor gave it their all, complete with layered idiosyncrasies and complex character dynamics; I'm so ready for Hong Chau to start being showered with roles. On that note, Brendan Fraser's performance is absolutely not overrated, as he was able to give me goosebumps and nearly left me in tears. I have to pay attention to this more closely on a rewatch, but the five act structure is also seemingly used to subvert the traditional stages of grief. Ultimately, the aspect that hit for me was the realization that we all have a whale in our lives, whether physically or metaphorically.",,2022-12-20
2022-12-23,The Quiet Girl,2022,https://boxd.it/3z9lCd,4,,"This film is a very wholesome slice-of-life. It lacks a sense of stylistic flair that I typically appreciate and generally feels slow, often to its detriment, but at the same time that’s kind of the point. It’s very rewarding to witness these characters’ renewed zest for life. Also, this doesn’t impact my opinion on the film, but the in-theater ambience of having a subway roll overhead every fifteen or so minutes was unique, but not necessarily in a bad way.",,2022-12-22
2022-12-25,Paul Blart: Mall Cop,2009,https://boxd.it/3zUH2v,3,Yes,Makes me proud to be a New Jerseyan,,2022-12-24
2022-12-30,Puss in Boots: The Last Wish,2022,https://boxd.it/3BEGNh,4,,Great style and action as expected. Nice Easter eggs that callback to the Shrek franchise. Really looking forward to this new era of Dreamworks Animation (especially Kung Fu Panda 4).,,2022-12-29
2022-12-30,Avatar: The Way of Water,2022,https://boxd.it/3BOCS3,5,,"It’s been said to death already, but this film is absolutely breathtaking. This chapter in the Avatar epic explores an entirely new side of Pandora that constantly left me awe-struck with its landscapes and visual fidelity. It literally looked as if the screen was a window into Pandora. Even though this film is once again light on plot, the world building is crafted in such a way that left me savoring every moment spent in this world. The introduction of the Na’vi reef tribe served as an excellent gateway to introduce the protagonists as well as the audience to the vast oceans and sea creatures. I really would love to see future installments diving deeper into the mysticism of Eywa or at the very least developing a united front amongst all Na’vi tribes against the Sky People.",,2022-12-29
2022-12-31,Babylon,2022,https://boxd.it/3C2BAZ,4.5,,"Exhilarating glimpse into the rise and fall of Hollywood at the height of its opulence. The individual scenes carry this movie rather than the narrative as a whole. There are some exceptionally captivating set pieces, especially the reflection on the legacy of cinema that left me with nostalgia as I watched the credits roll.",,2022-12-30
2023-01-09,M3GAN,2022,https://boxd.it/3FTSP1,3,,Goofy ahh robot 🤖,,2023-01-08
2023-01-11,Corsage,2022,https://boxd.it/3GCljB,4.5,,"This film resonated with me for its exploration into the subtle melancholy of solitude. Using the hyperbolic backdrop of monarchism, where one is surrounded by people that cater to every whim and need, it is shown to be extremely isolating when there is a demonstrative lack of warmth and desire. On top of this, the historical time period and location of the late nineteenth century Austro-Hungarian Empire is new to me, which captivated my interest and allowed the potent themes and motifs to flourish throughout.",,2023-01-10
2023-01-14,Tokyo Godfathers,2003,https://boxd.it/3HzoQB,4.5,,There’s no such thing as a coincidence,,2023-01-13
2023-01-15,Saint Omer,2022,https://boxd.it/3HL0a1,3.5,,"The aspect of this film that struck me the most was the constant use of lingering close up shots. The unflinching nature of these shots is paired with the brilliant micro-expressions from the two main actresses, which speaks volumes to the court case that is unfolding. This aspect proved to be a bit of a double-edged sword in my opinion, as some of the shots lasted for multiple minutes and tested my resolve and attention. Ultimately, however, the performances and themes of motherhood are enough to make this a worthwhile watch, complete with a powerful closing argument.",,2023-01-14
2023-01-17,"Our Friend, Martin",1999,https://boxd.it/3IGdqb,1.5,,"YouTube removing the audio for the ""I Have A Dream"" speech really enhances the experience.",,2023-01-16
2023-01-18,Broker,2022,https://boxd.it/3IQUTb,4.5,,This film delivers a morally complex narrative shrouded in the veil of a family road trip adventure. There is a lulling sense of serenity in the moment-to-moment actions and the cinematography made me feel like I was apart of this fractured family dynamic. I think the greatest takeaway with this film is the importance of familial bonds - whether blood related or not - as well as forgiving oneself wholeheartedly.,,2023-01-17
2023-01-18,Living,2022,https://boxd.it/3IU4zV,3.5,,"Perhaps this would have been more moving if I had not seen the original, but I felt it removed some of the nuance that made Kurosawa’s Ikiru so special. To me the only improvements this film offered are sharper visuals and the lack of need to read subtitles. This anglicized remake is certainly a good attempt, but ultimately I would recommend watching the original first.",,2023-01-17
2023-01-18,RRR,2022,https://boxd.it/3IZhdX,5,Yes,"Watching this again for the theater experience was well worth it. Words fail to describe how awesome RRR is, and I think the main reason for its success is the pure sincerity of its narrative. RRR truly deserves all the hype it’s getting this award season.",,2023-01-17
2023-01-23,House Party,2023,https://boxd.it/3KuSH7,3.5,,Same formula as the original but it got some genuine laughs out of me. Bonus points for having an original Power Ranger as well as Kid Cudi IV.,,2023-01-22
